date,paidSub,churned
11/19/10,274686,1854
11/20/10,275594,1376
11/21/10,276398,1006
11/22/10,277089,641
11/23/10,277187,1057
11/24/10,276715,2031
11/25/10,276484,2008
11/26/10,277649,932
11/27/10,278030,530
11/28/10,278564,999
11/29/10,278867,846
11/30/10,278926,1049
12/1/10,278366,2094
12/2/10,277913,2074
12/3/10,277703,1954
12/4/10,277633,1627
12/5/10,278312,898
12/6/10,278829,612
12/7/10,278896,1029
12/8/10,278561,1902
12/9/10,278319,1848
12/10/10,277394,2466
12/11/10,277930,1286
12/12/10,278554,962
12/13/10,278869,676
12/14/10,278840,958
12/15/10,278334,1922
12/16/10,278053,1967
12/17/10,277904,1850
12/18/10,278384,1219
12/19/10,279033,929
12/20/10,279586,674
12/21/10,279586,0
12/22/10,279182,2694
12/23/10,279043,1771
12/24/10,278544,2102
12/25/10,279510,1046
12/26/10,280273,514
12/27/10,280876,279
12/28/10,280922,952
12/29/10,280208,2216
12/30/10,280072,2092
12/31/10,279987,1798
1/1/11,280761,1076
1/2/11,281296,802
1/3/11,281884,496
1/4/11,281926,1163
1/5/11,281377,2272
1/6/11,281232,2090
1/7/11,280922,2095
1/8/11,280960,1741
1/9/11,281893,983
1/10/11,282393,634
1/11/11,282703,565
1/12/11,281429,2191
1/13/11,281214,1897
1/14/11,281049,1893
1/15/11,281434,1267
1/16/11,282169,953
1/17/11,282799,657
1/18/11,283031,878
1/19/11,282571,2086
1/20/11,282297,2073
1/21/11,282166,1992
1/22/11,282444,1469
1/23/11,283273,978
1/24/11,283903,631
1/25/11,284337,832
1/26/11,283629,2125
1/27/11,283385,2122
1/28/11,283148,2055
1/29/11,283501,1477
1/30/11,284650,896
1/31/11,285372,689
2/1/11,285559,954
2/2/11,285343,1821
2/3/11,285330,1697
2/4/11,285367,1650
2/5/11,285765,1318
2/6/11,286554,958
2/7/11,287177,641
2/8/11,287443,845
2/9/11,287117,1933
2/10/11,286550,2257
2/11/11,286499,1989
2/12/11,286736,1599
2/13/11,287682,941
2/14/11,288166,733
2/15/11,288113,1076
2/16/11,288003,1844
2/17/11,287876,1896
2/18/11,287503,1992
2/19/11,287718,1500
2/20/11,288662,837
2/21/11,289154,590
2/22/11,289114,1074
2/23/11,288686,1976
2/24/11,288531,1848
2/25/11,288507,1669
2/26/11,288749,1308
2/27/11,289393,972
2/28/11,289920,625
3/1/11,289831,1110
3/2/11,289441,2035
3/3/11,289415,2134
3/4/11,288981,2492
3/5/11,289634,1643
3/6/11,290570,1065
3/7/11,291125,678
3/8/11,291212,1169
3/9/11,291212,0
3/10/11,290771,3282
3/11/11,290321,2879
3/12/11,292238,1182
3/13/11,293526,996
3/14/11,294765,673
3/15/11,295403,1122
3/16/11,295549,2106
3/17/11,295549,0
3/18/11,295549,0
3/19/11,296846,3960
3/20/11,299237,886
3/21/11,302896,621
3/22/11,305080,1157
3/23/11,305981,2096
3/24/11,306869,2131
3/25/11,306580,3017
3/26/11,308197,1547
3/27/11,309649,1069
3/28/11,310242,846
3/29/11,311134,1108
3/30/11,309449,2343
3/31/11,308345,2248
4/1/11,311598,2625
4/2/11,311598,0
4/3/11,315680,2274
4/4/11,318204,723
4/5/11,319074,1299
4/6/11,319248,2338
4/7/11,319740,2338
4/8/11,319583,2828
4/9/11,321000,1823
4/10/11,322382,1117
4/11/11,323486,727
4/12/11,324379,1196
4/13/11,324153,2695
4/14/11,324451,2630
4/15/11,324551,2725
4/16/11,325046,2177
4/17/11,327631,1183
4/18/11,327272,461
4/19/11,329880,1575
4/20/11,329838,1871
4/21/11,330138,2247
4/22/11,330085,2223
4/23/11,330999,1717
4/24/11,331872,1501
4/25/11,333015,498
4/26/11,333690,935
4/27/11,333189,2608
4/28/11,333202,2523
4/29/11,333199,2370
4/30/11,333761,1833
5/1/11,334775,1260
5/2/11,335678,789
5/3/11,336352,1170
5/4/11,336183,2341
5/5/11,335724,2482
5/6/11,334173,2435
5/7/11,333168,2013
5/8/11,332709,1461
5/9/11,332578,357
5/10/11,331618,1261
5/11/11,337599,2122
5/12/11,337374,2328
5/13/11,336540,2855
5/14/11,337024,2070
5/15/11,338105,1241
5/16/11,339090,793
5/17/11,339280,1405
5/18/11,338923,2355
5/19/11,338355,2709
5/20/11,337764,2762
5/21/11,337582,2240
5/22/11,337582,0
5/23/11,339253,1686
5/24/11,339502,1151
5/25/11,339379,2387
5/26/11,339379,0
5/27/11,338465,4492
5/28/11,338465,0
5/29/11,338465,0
5/30/11,338465,0
5/31/11,338465,0
6/1/11,341169,4931
6/2/11,341493,2355
6/3/11,341089,2495
6/4/11,340943,2318
6/5/11,341860,1311
6/6/11,341860,0
6/7/11,341285,2333
6/8/11,341794,1975
6/9/11,341301,2573
6/10/11,340312,2606
6/11/11,340726,2445
6/12/11,341629,725
6/13/11,342240,718
6/14/11,342328,1449
6/15/11,342494,2534
6/16/11,342709,2308
6/17/11,342549,2572
6/18/11,343166,1702
6/19/11,343887,1171
6/20/11,344513,762
6/21/11,344677,1124
6/22/11,344031,2627
6/23/11,343674,2710
6/24/11,342824,3094
6/25/11,343247,2136
6/26/11,344213,781
6/27/11,344922,892
6/28/11,344463,1898
6/29/11,343665,2909
6/30/11,342997,2870
7/1/11,343569,2006
7/2/11,343929,2073
7/3/11,345163,1279
7/4/11,346125,742
7/5/11,347043,556
7/6/11,346630,1790
7/7/11,345958,2872
7/8/11,345228,3066
7/9/11,345565,2250
7/10/11,346711,704
7/11/11,347436,822
7/12/11,346889,1989
7/13/11,346631,2718
7/14/11,345962,3171
7/15/11,345889,2768
7/16/11,346299,2150
7/17/11,347639,1132
7/18/11,348424,725
7/19/11,348414,1423
7/20/11,347789,2731
7/21/11,347567,2827
7/22/11,347014,2816
7/23/11,347644,1944
7/24/11,348900,531
7/25/11,349589,803
7/26/11,349816,1697
7/27/11,349569,2777
7/28/11,349523,2445
7/29/11,348639,2776
7/30/11,348898,2181
7/31/11,350023,1139
8/1/11,350611,840
8/2/11,350705,1270
8/3/11,349845,2971
8/4/11,349946,2604
8/5/11,349241,3036
8/6/11,349783,2101
8/7/11,351152,673
8/8/11,352148,738
8/9/11,352198,1472
8/10/11,351519,2826
8/11/11,351376,2829
8/12/11,350875,2851
8/13/11,351192,2116
8/14/11,352201,1198
8/15/11,352971,756
8/16/11,353068,1238
8/17/11,352189,2886
8/18/11,351930,2848
8/19/11,351747,2576
8/20/11,351992,2169
8/21/11,353297,710
8/22/11,354599,760
8/23/11,354735,1601
8/24/11,354575,2797
8/25/11,354211,2926
8/26/11,354032,2706
8/27/11,354191,2207
8/28/11,355410,1154
8/29/11,355950,944
8/30/11,355883,1486
8/31/11,355482,2503
9/1/11,355431,2600
9/2/11,355161,2662
9/3/11,355462,1725
9/4/11,357077,1161
9/5/11,358492,758
9/6/11,358941,1204
9/7/11,358656,2189
9/8/11,358284,2820
9/9/11,357932,2814
9/10/11,357915,2291
9/11/11,359329,1105
9/12/11,359981,709
9/13/11,359892,1611
9/14/11,359446,2590
9/15/11,358640,2938
9/16/11,357888,2876
9/17/11,358294,2234
9/18/11,358294,0
9/19/11,358294,0
9/20/11,362712,3020
9/21/11,362146,2619
9/22/11,361630,2707
9/23/11,361206,2564
9/24/11,361368,2014
9/25/11,362326,1276
9/26/11,362841,841
9/27/11,363125,1176
9/28/11,362390,2509
9/29/11,361896,2443
9/30/11,361015,2905
10/1/11,361317,2004
10/2/11,362242,1329
10/3/11,363344,824
10/4/11,364068,983
10/5/11,362930,2990
10/6/11,362532,1951
10/7/11,362134,2686
10/8/11,362301,2036
10/9/11,363340,1199
10/10/11,363940,834
10/11/11,364143,1115
10/12/11,363351,2453
10/13/11,362651,2655
10/14/11,362034,2689
10/15/11,362750,1513
10/16/11,363673,1384
10/17/11,364673,865
10/18/11,365009,1106
10/19/11,363456,3194
10/20/11,362492,1981
10/21/11,362404,2803
10/22/11,362617,2032
10/23/11,363658,1161
10/24/11,364351,731
10/25/11,364613,1089
10/26/11,363847,2559
10/27/11,363126,2771
10/28/11,362389,2769
10/29/11,362353,2076
10/30/11,363418,1195
10/31/11,364233,737
11/1/11,364456,1135
11/2/11,363790,2476
11/3/11,363537,1889
11/4/11,362775,2805
11/5/11,362735,2224
11/6/11,363762,1181
11/7/11,364382,718
11/8/11,363732,1112
11/9/11,363829,2555
11/10/11,363277,2588
11/11/11,362913,2344
11/12/11,363120,1880
11/13/11,364011,1083
11/14/11,364791,733
11/15/11,364452,1650
11/16/11,364145,1938
11/17/11,363457,2650
11/18/11,362800,2578
11/19/11,363065,1939
11/20/11,363831,1235
11/21/11,364503,816
11/22/11,364751,1145
11/23/11,363694,2639
11/24/11,362951,2888
11/25/11,364092,1260
11/26/11,364091,1129
11/27/11,364770,1140
11/28/11,365269,806
11/29/11,365123,1343
11/30/11,363655,3267
12/1/11,363235,1839
12/2/11,363235,0
12/3/11,363235,0
12/4/11,363235,0
12/5/11,363235,0
12/6/11,363235,0
12/7/11,363548,8445
12/8/11,362945,2669
12/9/11,362134,2826
12/10/11,362186,2171
12/11/11,363243,1161
12/12/11,363706,763
12/13/11,363752,1147
12/14/11,362775,2586
12/15/11,361998,2650
12/16/11,361304,2490
12/17/11,361432,1898
12/18/11,362342,1044
12/19/11,362982,754
12/20/11,363012,1211
12/21/11,362417,2294
12/22/11,361729,2509
12/23/11,361431,2440
12/24/11,361937,1820
12/25/11,363257,1122
12/26/11,364411,654
12/27/11,365183,397
12/28/11,364195,2438
12/29/11,363464,2802
12/30/11,362986,2636
12/31/11,362986,0
1/1/12,363633,3211
1/2/12,364773,153
1/3/12,365452,581
1/4/12,364225,2590
1/5/12,363604,2835
1/6/12,363239,2880
1/7/12,363543,2222
1/8/12,364587,1262
1/9/12,365250,814
1/10/12,365309,1276
1/11/12,364101,2756
1/12/12,363199,2823
1/13/12,362702,2527
1/14/12,362979,1782
1/15/12,362979,0
1/16/12,362979,0
1/17/12,363391,3640
1/18/12,363929,1663
1/19/12,363402,2434
1/20/12,362774,2525
1/21/12,362839,1969
1/22/12,363780,1255
1/23/12,364331,770
1/24/12,364380,1157
1/25/12,363531,2555
1/26/12,363040,2436
1/27/12,362485,2470
1/28/12,362449,1977
1/29/12,363767,1138
1/30/12,364732,689
1/31/12,364732,0
2/1/12,364225,3314
2/2/12,364143,1755
2/3/12,363902,2388
2/4/12,364168,1667
2/5/12,365029,1178
2/6/12,365597,862
2/7/12,365688,1064
2/8/12,364907,2404
2/9/12,364665,2247
2/10/12,364449,2200
2/11/12,364876,1591
2/12/12,365684,1160
2/13/12,366132,825
2/14/12,366135,1124
2/15/12,364911,2820
2/16/12,365042,1133
2/17/12,364673,2082
2/18/12,364718,1583
2/19/12,365357,1141
2/20/12,365808,830
2/21/12,365829,1250
2/22/12,365299,2031
2/23/12,364962,2007
2/24/12,364435,2210
2/25/12,364683,1697
2/26/12,365862,1056
2/27/12,366793,720
2/28/12,366059,1054
2/29/12,366059,0
3/1/12,366055,3998
3/2/12,366520,871
3/3/12,366560,1745
3/4/12,367460,1150
3/5/12,366716,854
3/6/12,368895,1091
3/7/12,368622,2058
3/8/12,368461,2241
3/9/12,368593,1926
3/10/12,368881,1682
3/11/12,370645,1120
3/12/12,369967,894
3/13/12,372542,1049
3/14/12,372216,2149
3/15/12,372240,2034
3/16/12,372374,1839
3/17/12,372613,1661
3/18/12,372613,0
3/19/12,372613,0
3/20/12,374455,3416
3/21/12,375126,1201
3/22/12,375079,2046
3/23/12,374663,2382
3/24/12,374969,1791
3/25/12,376430,1197
3/26/12,377480,824
3/27/12,377913,1119
3/28/12,377519,2171
3/29/12,377440,2056
3/30/12,376818,2446
3/31/12,377257,1691
4/1/12,378141,1259
4/2/12,378905,1100
4/3/12,379690,717
4/4/12,379192,2118
4/5/12,379007,2258
4/6/12,378393,2608
4/7/12,378999,1567
4/8/12,380251,1117
4/9/12,381675,718
4/10/12,382164,865
4/11/12,381763,2267
4/12/12,381290,2398
4/13/12,380801,2407
4/14/12,381095,1779
4/15/12,382147,1248
4/16/12,382147,0
4/17/12,383034,2524
4/18/12,383310,1438
4/19/12,382896,2292
4/20/12,382453,2420
4/21/12,382738,1879
4/22/12,383781,1176
4/23/12,384547,688
4/24/12,384840,1160
4/25/12,384033,2471
4/26/12,383457,2427
4/27/12,382745,2643
4/28/12,383039,1810
4/29/12,384039,1181
4/30/12,384039,0
5/1/12,384612,2506
5/2/12,384871,1483
5/3/12,384084,2686
5/4/12,383694,2474
5/5/12,383889,2042
5/6/12,383889,0
5/7/12,383889,0
5/8/12,384875,3565
5/9/12,385035,1596
5/10/12,385480,2681
5/11/12,384884,2698
5/12/12,385260,1870
5/13/12,386114,1239
5/14/12,386575,811
5/15/12,386949,1027
5/16/12,386949,0
5/17/12,385260,3881
5/18/12,385167,2738
5/19/12,385543,1908
5/20/12,386506,1239
5/21/12,387382,712
5/22/12,387382,0
5/23/12,386319,3098
5/24/12,386873,2511
5/25/12,386185,2787
5/26/12,386964,1709
5/27/12,386964,0
5/28/12,388619,2058
5/29/12,389881,258
5/30/12,389881,0
5/31/12,389881,0
6/1/12,389881,0
6/2/12,389881,0
6/3/12,389881,0
6/4/12,389881,0
6/5/12,389881,0
6/6/12,389881,0
6/7/12,389881,0
6/8/12,389881,0
6/9/12,389881,0
6/10/12,389881,0
6/11/12,389881,0
6/12/12,388942,17133
6/13/12,389868,2186
6/14/12,389879,1762
6/15/12,389463,2453
6/16/12,389923,1713
6/17/12,390969,1167
6/18/12,391696,660
6/19/12,392286,833
6/20/12,392286,0
6/21/12,392286,0
6/22/12,390118,6287
6/23/12,390857,1205
6/24/12,392100,553
6/25/12,392950,687
6/26/12,393151,1245
6/27/12,392293,2661
6/28/12,391930,2692
6/29/12,391549,2528
6/30/12,392022,1856
7/1/12,392030,0
7/2/12,392030,0
7/3/12,392030,0
7/4/12,393448,5100
7/5/12,393977,1397
7/6/12,393104,2205
7/7/12,393386,1878
7/8/12,393917,1272
7/9/12,394325,789
7/10/12,394557,1184
7/11/12,393292,2831
7/12/12,392874,2675
7/13/12,392346,2689
7/14/12,392346,0
7/15/12,392346,0
7/16/12,392346,0
7/17/12,393426,4814
7/18/12,393930,1858
7/19/12,393405,2545
7/20/12,392226,3180
7/21/12,393078,1657
7/22/12,393970,1088
7/23/12,394611,714
7/24/12,394835,1230
7/25/12,394096,2370
7/26/12,393530,2446
7/27/12,393002,2559
7/28/12,393100,2030
7/29/12,394458,1175
7/30/12,395573,689
7/31/12,395734,1123
8/1/12,394949,2517
8/2/12,394513,2519
8/3/12,393971,2845
8/4/12,394243,2009
8/5/12,395382,1152
8/6/12,396240,685
8/7/12,396388,1262
8/8/12,395828,2485
8/9/12,395315,2559
8/10/12,394623,2742
8/11/12,395147,1714
8/12/12,396168,1220
8/13/12,396995,734
8/14/12,396954,1222
8/15/12,396058,2416
8/16/12,395633,2364
8/17/12,394835,2676
8/18/12,395329,1127
8/19/12,396285,1049
8/20/12,396860,799
8/21/12,396875,1135
8/22/12,395851,2543
8/23/12,395283,2401
8/24/12,394419,2662
8/25/12,394744,1735
8/26/12,395723,1198
8/27/12,396665,557
8/28/12,396672,1143
8/29/12,396031,2112
8/30/12,395694,2025
8/31/12,395208,2109
9/1/12,395027,1818
9/2/12,395807,1170
9/3/12,396161,775
9/4/12,396878,546
9/5/12,396192,1988
9/6/12,395579,2680
9/7/12,395073,2553
9/8/12,395196,1835
9/9/12,396153,1185
9/10/12,396751,845
9/11/12,396907,1153
9/12/12,395839,2493
9/13/12,395167,2578
9/14/12,394498,2470
9/15/12,394256,2145
9/16/12,395003,1113
9/17/12,394894,777
9/18/12,394366,1095
9/19/12,392880,2406
9/20/12,395915,2221
9/21/12,395283,2726
9/22/12,395444,1395
9/23/12,396182,1257
9/24/12,396043,835
9/25/12,395631,1266
9/26/12,396656,2369
9/27/12,395602,2446
9/28/12,395602,0
9/29/12,395158,3685
9/30/12,396450,1226
10/1/12,396450,0
10/2/12,395589,1878
10/3/12,397396,2275
10/4/12,395567,2710
10/5/12,396259,2614
10/6/12,395774,1915
10/7/12,397761,1160
10/8/12,398904,728
10/9/12,399147,1182
10/10/12,398574,2371
10/11/12,398028,2525
10/12/12,397451,2513
10/13/12,397871,1609
10/14/12,398764,1169
10/15/12,399473,746
10/16/12,399773,987
10/17/12,398863,2660
10/18/12,398800,1610
10/19/12,398328,2386
10/20/12,398658,1727
10/21/12,399775,1147
10/22/12,399187,653
10/23/12,399841,1267
10/24/12,399281,2314
10/25/12,398751,2526
10/26/12,398243,2482
10/27/12,398660,1599
10/28/12,399379,1103
10/29/12,399940,702
10/30/12,400147,1029
10/31/12,399597,2127
11/1/12,399328,1999
11/2/12,399169,1939
11/3/12,399402,1578
11/4/12,400050,1305
11/5/12,400880,733
11/6/12,400216,993
11/7/12,399486,2279
11/8/12,400286,2139
11/9/12,400377,1777
11/10/12,400627,1497
11/11/12,401185,1136
11/12/12,401565,859
11/13/12,401672,1108
11/14/12,401152,2059
11/15/12,400416,2390
11/16/12,400181,2002
11/17/12,399869,1971
11/18/12,400571,1109
11/19/12,399901,757
11/20/12,400718,1406
11/21/12,399617,2702
11/22/12,399017,2514
11/23/12,399688,1284
11/24/12,399435,1159
11/25/12,399950,1201
11/26/12,400186,915
11/27/12,399926,1340
11/28/12,398610,2919
11/29/12,397787,2316
11/30/12,397787,0
12/1/12,397787,0
12/2/12,398092,3910
12/3/12,398092,0
12/4/12,398092,0
12/5/12,398240,3823
12/6/12,397739,1967
12/7/12,397233,2430
12/8/12,397235,1864
12/9/12,398003,1099
12/10/12,398339,824
12/11/12,398206,1117
12/12/12,396886,2204
12/13/12,397030,2389
12/14/12,397361,1498
12/15/12,396836,1733
12/16/12,397072,924
12/17/12,398735,823
12/18/12,398760,1176
12/19/12,396927,2567
12/20/12,397285,2615
12/21/12,396812,2537
12/22/12,397228,1643
12/23/12,398134,1031
12/24/12,398751,809
12/25/12,398755,1090
12/26/12,399476,827
12/27/12,398575,1854
12/28/12,397609,2742
12/29/12,397520,1969
12/30/12,398031,1429
12/31/12,398703,861
1/1/13,398920,1047
1/2/13,399241,1129
1/3/13,398413,1906
1/4/13,397071,3068
1/5/13,397215,2045
1/6/13,397473,1376
1/7/13,397796,771
1/8/13,397584,1150
1/9/13,396345,2584
1/10/13,395045,3090
1/11/13,394459,2713
1/12/13,394451,1845
1/13/13,395271,1198
1/14/13,395889,795
1/15/13,395757,1070
1/16/13,394012,2551
1/17/13,394601,1912
1/18/13,393220,2929
1/19/13,393563,1688
1/20/13,393601,1128
1/21/13,394634,799
1/22/13,394458,1256
1/23/13,392907,2396
1/24/13,393063,2411
1/25/13,392215,2020
1/26/13,392698,1767
1/27/13,393494,1123
1/28/13,394072,850
1/29/13,394036,1080
1/30/13,393423,2022
1/31/13,392070,2865
2/1/13,392009,2054
2/2/13,392284,1499
2/3/13,392838,1158
2/4/13,393184,814
2/5/13,393096,1156
2/6/13,392008,2742
2/7/13,392102,2077
2/8/13,392553,1198
2/9/13,391636,1576
2/10/13,391844,979
2/11/13,392859,734
2/12/13,391940,1336
2/13/13,390079,2764
2/14/13,391092,1729
2/15/13,390466,1658
2/16/13,391728,1387
2/17/13,392164,1128
2/18/13,392427,708
2/19/13,391662,1087
2/20/13,391911,1927
2/21/13,391368,2154
2/22/13,391381,1740
2/23/13,391468,1390
2/24/13,392191,1009
2/25/13,392940,757
2/26/13,392966,1037
2/27/13,391799,1970
2/28/13,392015,2064
3/1/13,391416,1714
3/2/13,392154,1397
3/3/13,392154,0
3/4/13,392154,0
3/5/13,392154,0
3/6/13,392154,0
3/7/13,392048,5816
3/8/13,392026,1606
3/9/13,392038,1385
3/10/13,391857,1074
3/11/13,393311,719
3/12/13,392666,1043
3/13/13,392956,1963
3/14/13,392459,2118
3/15/13,392512,1705
3/16/13,392879,1288
3/17/13,393401,1105
3/18/13,393647,729
3/19/13,393111,895
3/20/13,393479,1772
3/21/13,393085,1741
3/22/13,392315,1733
3/23/13,392906,1343
3/24/13,392835,974
3/25/13,394225,698
3/26/13,394227,936
3/27/13,393020,1860
3/28/13,393220,1975
3/29/13,392964,1745
3/30/13,393057,1304
3/31/13,392887,948
4/1/13,393290,636
4/2/13,393642,637
4/3/13,392997,1930
4/4/13,392422,2039
4/5/13,392174,1785
4/6/13,392354,1248
4/7/13,392848,963
4/8/13,393568,723
4/9/13,393709,965
4/10/13,393435,1759
4/11/13,393435,0
4/12/13,392348,1971
4/13/13,392413,1562
4/14/13,392948,920
4/15/13,393269,577
4/16/13,392718,870
4/17/13,391806,2077
4/18/13,390623,2167
4/19/13,391442,1224
4/20/13,390625,1383
4/21/13,391651,892
4/22/13,391410,579
4/23/13,391016,905
4/24/13,391016,0
4/25/13,391016,0
4/26/13,390747,4552
4/27/13,390837,1445
4/28/13,391271,915
4/29/13,391619,637
4/30/13,391587,885
5/1/13,390779,1991
5/2/13,390404,1761
5/3/13,389236,2364
5/4/13,389455,1529
5/5/13,389928,1015
5/6/13,389478,507
5/7/13,389792,955
5/8/13,389199,1844
5/9/13,388824,1867
5/10/13,388163,2161
5/11/13,388625,1273
5/12/13,389090,887
5/13/13,389437,617
5/14/13,389572,799
5/15/13,388881,1866
5/16/13,387809,1852
5/17/13,387204,1982
5/18/13,387308,1326
5/19/13,387902,903
5/20/13,388074,642
5/21/13,387527,961
5/22/13,387016,1820
5/23/13,386342,2166
5/24/13,386026,1893
5/25/13,386384,1297
5/26/13,386914,995
5/27/13,387311,594
5/28/13,387825,446
5/29/13,387370,1451
5/30/13,386692,2079
5/31/13,386244,2036
6/1/13,386436,1423
6/2/13,387045,979
6/3/13,387597,730
6/4/13,387733,876
6/5/13,387096,2023
6/6/13,387046,2050
6/7/13,386633,2138
6/8/13,387066,1437
6/9/13,387763,915
6/10/13,388206,635
6/11/13,388220,1031
6/12/13,387736,1910
6/13/13,387553,1838
6/14/13,386989,2012
6/15/13,387212,1373
6/16/13,387813,926
6/17/13,388383,559
6/18/13,388383,0
6/19/13,388383,0
6/20/13,388383,0
6/21/13,388383,0
6/22/13,388383,0
6/23/13,388383,0
6/24/13,388383,0
6/25/13,388383,0
6/26/13,388383,0
6/27/13,388383,0
6/28/13,388383,0
6/29/13,386905,12366
6/30/13,387583,906
7/1/13,387968,662
7/2/13,388084,876
7/3/13,387315,2088
7/4/13,386755,2155
7/5/13,387169,1294
7/6/13,387187,1023
7/7/13,387769,935
7/8/13,388185,617
7/9/13,388205,923
7/10/13,387443,2021
7/11/13,386767,2283
7/12/13,386254,2270
7/13/13,386452,1508
7/14/13,386987,1018
7/15/13,387487,633
7/16/13,386742,863
7/17/13,385740,1400
7/18/13,384013,2256
7/19/13,382792,2202
7/20/13,386189,1448
7/21/13,386680,997
7/22/13,387043,658
7/23/13,386870,1128
7/24/13,385658,2579
7/25/13,384888,2687
7/26/13,384704,2020
7/27/13,385062,1316
7/28/13,385649,915
7/29/13,386091,641
7/30/13,385869,1093
7/31/13,385028,2076
8/1/13,383712,2270
8/2/13,384019,1955
8/3/13,384358,1491
8/4/13,384841,1022
8/5/13,385198,639
8/6/13,385059,1180
8/7/13,384262,2281
8/8/13,383596,2427
8/9/13,383402,1956
8/10/13,383553,1458
8/11/13,384119,947
8/12/13,383489,688
8/13/13,384401,1050
8/14/13,383660,2023
8/15/13,383064,2237
8/16/13,382770,1915
8/17/13,383103,1441
8/18/13,383658,914
8/19/13,384007,618
8/20/13,383896,1105
8/21/13,383293,2001
8/22/13,382662,2192
8/23/13,382269,2017
8/24/13,382389,1441
8/25/13,382503,876
8/26/13,383854,636
8/27/13,383837,1117
8/28/13,383171,2050
8/29/13,382576,2307
8/30/13,382374,1916
8/31/13,382742,1309
9/1/13,383602,1060
9/2/13,384993,722
9/3/13,385615,517
9/4/13,385308,1310
9/5/13,384496,2315
9/6/13,383950,2273
9/7/13,384104,1564
9/8/13,384871,948
9/9/13,385458,671
9/10/13,385471,1030
9/11/13,384510,2356
9/12/13,384101,2284
9/13/13,383739,1945
9/14/13,383987,1518
9/15/13,384554,949
9/16/13,384928,697
9/17/13,385020,965
9/18/13,384123,2168
9/19/13,383626,2291
9/20/13,383426,1931
9/21/13,383777,1311
9/22/13,384153,1089
9/23/13,384153,0
9/24/13,384153,0
9/25/13,383827,3801
9/26/13,383551,1609
9/27/13,383375,1866
9/28/13,383577,1382
9/29/13,384129,982
9/30/13,384553,677
10/1/13,384459,1002
10/2/13,383929,1964
10/3/13,383322,2163
10/4/13,382873,2062
10/5/13,382878,1649
10/6/13,383747,1012
10/7/13,384581,662
10/8/13,384802,1038
10/9/13,383943,2327
10/10/13,383561,2233
10/11/13,383441,1769
10/12/13,383525,1489
10/13/13,384162,1038
10/14/13,384572,725
10/15/13,384809,881
10/16/13,384436,1763
10/17/13,383874,2061
10/18/13,383092,2310
10/19/13,383335,1497
10/20/13,384152,1005
10/21/13,384958,910
10/22/13,384982,1011
10/23/13,385325,1056
10/24/13,384068,2499
10/25/13,383843,2001
10/26/13,384287,1440
10/27/13,385021,889
10/28/13,385426,671
10/29/13,385877,726
10/30/13,385226,1912
10/31/13,384805,2030
11/1/13,384394,1983
11/2/13,384901,1132
11/3/13,385350,1105
11/4/13,385666,819
11/5/13,385878,884
11/6/13,385124,1973
11/7/13,384619,2062
11/8/13,384358,1824
11/9/13,384503,1401
11/10/13,385036,1080
